content,clean_content,sentiment
mempermudah buat kirim uang kekeluarga yg jauh,mempermudah buat kirim uang kekeluarga jauh,positive
keren,keren,positive
"ganti ulasan karena gopay tidak konsisten dengan perkataannya, sangat buruk dan sangat kecewa bangy",ganti ulasan gopay tidak konsisten perkataannya sangat buruk sangat kecewa bangy,negative
bagus,bagus,positive
bagus,bagus,positive
bagus,bagus,positive
"aplikasinya ga amanah transaksi saya gagal tapi saldo saya ga kembali,di chtnya juga responnya aneh penuh ke anehan,jngn ada yg pke gopay deh bermasalah nih aplikasi",aplikasinya tidak amanah transaksi gagal saldo tidak di chtnya responnya aneh penuh anehan jngn yang pke gopay deh bermasalah nih aplikasi,negative
good,good,positive
aplikasi ini sangat membantu sekali dan mudah digunakan cocok buat saya pribadi sebagai pengguna,aplikasi sangat membantu sekali mudah digunakan cocok buat pribadi pengguna,positive
aplikasi yg sangat membantu dalam kesulitan,aplikasi sangat membantu kesulitan,positive
Luar biasa,luar biasa,positive
"lebih bagus gopay kebanding dana gabisa di pake ini itu kalu gda paket, sedangkan gopay bisa beli paket bisa qriss",lebih bagus gopay kebanding dana gabisa pake itu kalu gda paket gopay beli paket qriss,positive
mntp,mntp,positive
"Baru instal hari ini, Mudah2an senantiasa aman dan terpercaya.",baru instal hari mudah an senantiasa aman terpercaya,positive
buruk sekali semalam saya transfer saldo lewat apk dana belom masuk uga sampai sekarang saya saranin jangan pakai gopay,buruk sekali semalam transfer saldo lewat apk dana belom masuk uga sekarang saranin jangan pakai gopay,negative
lebih baik pake gopay dari pada pake dana to the point aja,lebih baik pake gopay pada pake dana to the point aja,positive
ok baik,baik,positive
"Kelihatannya sejauh ini belum ada hal yang berbahaya, semoga kedepannya bisa lebih baik lagi.",kelihatannya sejauh belum hal berbahaya semoga kedepannya lebih baik,positive
gopay banyak cashback sama diskon jadi worth it banget untuk di jadiin e wallet utama,gopay banyak cashback sama diskon jadi worth it banget di jadiin e wallet utama,positive
coba jelaskan saldo saya 15k tiba tiba jadi 7k padahal saya tidak memakai nya sepeser pun,coba jelaskan saldo k tiba tiba jadi k padahal tidak memakai nya sepeser,negative
langsung dapet gratis pulsa,langsung dapet gratis pulsa,positive
cepat dan praktis,cepat praktis,positive
bagus bngt!!🥹❤️bisa transfer luar negeri,bagus bngt transfer luar negeri,positive
stop tampilin iklan ke gua gua udah ada dana cerewet banget Luh,stop tampilin iklan gua gua ada dana cerewet banget luh,negative
bagus bgtttttt lovee sekebon,bagus bgtttttt lovee sekebon,positive
Gopay terbaik,gopay terbaik,positive
satu juta coins ya,satu juta coins,positive
bagus banget,bagus banget,positive
keren,keren,positive
baik,baik,positive
gopay mengecewakan masa saldo tiba tiba hilang dan tidak mau tanggung jawab mana jaminan saldo kembali,gopay mengecewakan masa saldo tiba tiba hilang tidak mau tanggung jawab mana jaminan saldo,negative
mudah di gunakan dan gak terlalu ribet,mudah gunakan tidak terlalu ribet,positive
aplikasi yg sangat bagus,aplikasi sangat bagus,positive
Sangat Bermanfaat buat Usaha. terima kasih Gopay,sangat bermanfaat buat usaha terima kasih gopay,positive
okokok,okokok,positive
bagus,bagus,positive
keren abiss,keren abiss,positive
dana cicil saya knpa emggk bilsa di gunakan,dana cicil knpa emggk bilsa gunakan,positive
GK bisa verifikasi di nmr lain kalau udh nmr hilang pas pakai nmr baru dan mau verifikasi GK bisa padahal kan jelas orang dan KTP nya kan sama sulit banget buat akun trs verifikasi nmr baru,gk verifikasi nmr kalau nmr hilang pas pakai nmr baru mau verifikasi gk padahal kan jelas orang ktp nya kan sama sulit banget buat akun trs verifikasi nmr baru,negative
mantap,mantap,positive
"perbaiki lagi kualitas apl nya, jgn suka potong saldo org",perbaiki kualitas apl nya jgn suka potong saldo org,negative
sangat2 bagus,sangat bagus,positive
dana monyet kaya nya aman tapi saldo saya ilang terus,dana monyet kaya nya aman saldo ilang terus,negative
ya bgus,bgus,positive
bagus Skali aplikasinya saya suka sekali memudahkan untuk TF ke bank lainya trmksih,bagus skali aplikasinya suka sekali memudahkan tf bank lainya trmksih,positive
sering ketarik sendiri uang ku,sering ketarik sendiri uang ku,positive
bagus,bagus,positive
dana cicil ku eror terus gk bisa aktivas,dana cicil ku eror terus gk aktivas,positive
"top up ngga masuk, mau komplain malah di minta2 data pribadi bank",top up ngga masuk mau komplain malah minta data pribadi bank,negative
aplikasi payah masa mau beli sesuatu dengan bayar qris malah transaksi gagal tolong perbaiki lagi lebih ditingkatkan lagi jangan ada masalah bug atau masalah yang membuat pengguna dana jadi kesusahan untuk bertransaksi membeli sesuatu,aplikasi payah masa mau beli dengan bayar qris malah transaksi gagal perbaiki lebih ditingkatkan jangan masalah bug masalah membuat pengguna dana jadi kesusahan bertransaksi membeli,negative
mantap,mantap,positive
bagus,bagus,positive
"bagus , cepet kalau mau transaksi",bagus cepet kalau mau transaksi,positive
aman nyaman cepat,aman nyaman cepat,positive
mantap nih sat set,mantap nih sat set,positive
amazingly very satisfied using DANA,amazingly very satisfied using dana,positive
cocok buat transfer k keluarga dan anak anak,cocok buat transfer k keluarga anak anak,positive
kecewa bos... dana cicil tidak bisa digunakan lagi padahal sudah lunas bayar dana cicilnya,kecewa bos dana cicil tidak digunakan padahal lunas bayar dana cicilnya,positive
"aplikasi dana gak memberi kebijakan, kasih fitur dana cicil tpi gak bisa di aktif kan, sumpah gak aplikasi gak berguna",aplikasi dana tidak memberi kebijakan kasih fitur dana cicil tpi tidak di aktif kan sumpah tidak aplikasi tidak berguna,negative
baik sekali,baik sekali,positive
"Saldo terpotong tapi status pembayaran proses terus. Chat bantuan di aplikasi jg gk membantu, wa dan email jg respon nya malah di oper lagi ke chat aplikasi. tidak respon dan solusi yg jelas",saldo terpotong status pembayaran proses terus chat bantuan aplikasi gk membantu wa email respon nya malah oper ke chat aplikasi tidak respon solusi jelas,negative
dana mantap sangat ngebantu dompet digital saya,dana mantap sangat ngebantu dompet digital,positive
terbaik,terbaik,positive
gk jelas,gk jelas,negative
bisa membantu kebutuhan rumah tangga,membantu kebutuhan rumah tangga,positive
bagus,bagus,positive
semoga berkembang,semoga berkembang,positive
bagus,bagus,positive
tolong tidak bisa masuk aplikasi normal,tidak masuk aplikasi normal,positive
Aplikasi dana nya bagus. tolong buat pihak dana untuk tidak memakai waktu sesi login karena sangat menganggu,aplikasi dana nya bagus buat pihak dana tidak memakai waktu sesi login sangat menganggu,positive
"Alhamdulillah selama masih pakai dana aman aman aja,semoga gak seperti orang orang lain yg pernah ke ambil uang dana nya.Cepat dan free kirim TF ke bank",alhamdulillah selama pakai dana aman aman aja semoga tidak orang orang yang pernah ambil uang dana nya cepat free kirim tf bank,positive
bagus,bagus,positive
sangat baik,sangat baik,positive
"Apk nya di awal pemakaian lancar namun saat ini kenapa gak bisa masuk alasan jaringan,tapi saya buka youtube lancar dan yang lain2nya cuma masuk ke apk dana aja gak bisa tolong jelaskan",apk nya awal pemakaian lancar saat kenapa tidak masuk alasan jaringan saya buka youtube lancar yang nya cuma masuk apk dana aja tidak tolong jelaskan,positive
sukses,sukses,positive
"jangan pake dana, penipu! cs nya aja tidak ramah kata kata kasar dan tidak ada solusi saat kalian ada Masalah.",jangan pake dana penipu cs nya aja tidak ramah kata kata kasar tidak solusi kalian masalah,negative
bagus aplikasi nya,bagus aplikasi nya,positive
tolong dana cicil saya engga bisa pakai KA,dana cicil engga pakai ka,positive
ok,,positive
saya baru instal aplikasi dana tapi saat di buka upgrade ke premium kok gak muncul yaa tulisan nya atau gak bisa.tolong perbaiki min...,baru instal aplikasi dana saat buka upgrade premium kok tidak muncul yaa tulisan nya tidak tolong perbaiki min,negative
apk jelek...duid saldo kekunci ga bisa dipake.....buat top up game gak bisa masuk akun dana...kan tolol sistem nya sekarang....udah kapok gak mau ngisi lagi saldo di dana..apk scem guys,apk jelek duid saldo kekunci tidak dipake buat top up game tidak masuk akun dana kan tolol sistem nya sekarang kapok tidak mau ngisi saldo dana apk scem guys,negative
bagus,bagus,positive
Dana gak guna masa saya udah top up tapi malah lanjutkan transaksi ke google. dana rusak dana rusak,dana tidak masa sudah top up malah lanjutkan transaksi google dana rusak dana rusak,negative
"bermanfaat bagi kita semua, transaksinya cepat",bermanfaat kita semua transaksinya cepat,positive
inovatif dan memudahkan transaksi dalam situasi bagaimanapun❤️‍🩹 terimakasi dana...,inovatif memudahkan transaksi situasi terimakasi dana,positive
bagus,bagus,positive
kenapa saya mau login tetiba mental,saya mau login tetiba mental,positive
bagus sekali,bagus sekali,positive
bagus,bagus,positive
ok banget aplikasi nya,banget aplikasi nya,positive
baik,baik,positive
"dana cicilnya aneh limit tersedia dana tersedia tapi kalo mau melakukan transaksi, pilihan dana cicilnya tidak tersedia dia, kalo memang gak mau ngasih saldo sama limit nya di hapus aja, bikin kesel orang aja",dana cicilnya aneh limit tersedia dana tersedia kalau mau melakukan transaksi pilihan dana cicilnya tidak tersedia kalau memang tidak mau ngasih saldo sama limit nya hapus aja bikin kesel orang aja,negative
"Terima kasih dana, telah banyak membantu, smoga sitem pengiriman dan penerima lancar jaya, dan tidak ada kendala apa pun.. TERIMAKASIH",terima kasih dana banyak membantu smoga sitem pengiriman penerima lancar jaya tidak kendala apa terimakasih,positive
cukup,cukup,positive
kurng,kurng,negative
kenapa dana gax bisa lihat bukti transfer ada apa,dana gax lihat bukti transfer apa,positive
sering kepotong gak jelas sama google,sering kepotong tidak jelas sama google,negative
bagus,bagus,positive
"jujur ngerasa cape sama dana, mau tarik uang didana bisnis ngestuck trs, mana lag i butuh, tolong update jgn berat biar bisa dipake dihp hp low version",jujur ngerasa cape sama dana mau tarik uang didana bisnis ngestuck trs mana lag i butuh update jgn berat biar dipake dihp hp low version,negative
apk. apa ini??? katanya bisa memindahkan akun ketika dicoba nggk bisa. hapus aja. apk. bosss nggk guna jg. sudah saya kirim email + ss. tapi nggak ada respon. sudah dm by IG.,apk apa katanya memindahkan akun dicoba nggk hapus aja apk bosss nggk juga saya kirim email ss nggak respon dm by ig,negative
sangat membantu,sangat membantu,positive
bagus. cepat,bagus cepat,positive
"tiba tiba ada transaksi tanpa saya ketahui ke wps padahal saya tidak pernah melakukan itu, mohon kembalikan uang saya!",tiba tiba transaksi tanpa ketahui wps padahal tidak pernah melakukan mohon kembalikan uang,negative
mantap pake dana,mantap pake dana,positive
sumpah duit gw di kirim ke akun dana tapi gak pernah masuk anj bgst lu semua akun gw kasih bintang 1 ni aplikasi lu fikir duit kecil yg hilang dari dana ini,sumpah duit gw kirim akun dana tidak pernah masuk anj bgst lu semua akun gw kasih bintang ni aplikasi lu fikir duit kecil hilang dana,negative
Yunies yunies,yunies yunies,positive
bagus,bagus,positive
Okee,okee,positive
mantap,mantap,positive
bagus,bagus,positive
mantap,mantap,positive
"saya sangat menyukai aplikasi dana, tapi kenapa fitur dana cicil masih dalam antrean padahal sering bertransaksi dengan dana, yang membuat tidak adil orang lain membuat akun dana langsung bisa membuka fitur dana cicil, saya sudah 5 tahun lebih, saya sangat kecewa, saya pilih bintang 5 agar di baca oleh pihak dana, kami mohon bantuanya dana cicil sangat membantu bagi kami.",sangat menyukai aplikasi dana kenapa fitur dana cicil dalam antrean padahal sering bertransaksi dana membuat tidak adil orang membuat akun dana langsung membuka fitur dana cicil sudah tahun lebih sangat kecewa pilih bintang di baca pihak dana mohon bantuanya dana cicil sangat membantu kami,positive
oke,oke,positive
jelek najis proses terlama ribet banget pake sim bayar pas mau bayar ada aja halangannya dan satu lagi ga semua proses dana harus upgrade kaya kirim ke temen ngapain upgrade si ribet proses nya juga harus butuh 3 samp 2 hari kelamaan ga semua harus premium,jelek najis proses terlama ribet banget pake sim bayar pas mau bayar aja halangannya satu tidak semua proses dana upgrade kaya kirim temen ngapain upgrade si ribet proses nya butuh samp hari kelamaan tidak semua harus premium,negative
mantep,mantep,positive
dana intan blom muncul,dana intan blom muncul,positive
"apaan? limit dana cicil naik terus tapi gak bisa di pakai, PHP juga ini dana",apaan limit dana cicil naik terus tidak di pakai php ini dana,negative
"transaksi hampir setiap hari pengeluaran dan pemasukan besar perbulan,tapi giliran ada dana cicil eh malah GK bisa dibuka fiturnya padahal yg lain hampir GK pernah bertransaksi di dana malah di lolosin gimana sih ini admin dananya pada mabuk kali ya",transaksi hampir hari pengeluaran pemasukan besar perbulan giliran dana cicil eh malah gk dibuka fiturnya padahal lain hampir gk pernah bertransaksi dana malah lolosin gimana sih admin dananya mabuk kali,positive
apk tidak bisa masuk kedalam akun alesannya jaringan tidak stabil bal BLA BLA pdhal jaringan lancar saja,apk tidak masuk kedalam akun alesannya jaringan tidak stabil bal bla bla pdhal jaringan lancar,negative
bagus sekali dan memuaskan,bagus sekali memuaskan,positive
baguss,baguss,positive
sengaja saya kasih bintang 5 biar bisa di lihat semua org yg mengunakan dana duit saya hilang 200rb di dana tolong lah dana ada apa ini ???,sengaja kasih bintang biar lihat semua org mengunakan dana duit hilang rb di dana lah dana apa,positive
Suka,suka,positive
sangat bagus,sangat bagus,positive
"setelah diupdate versi terbaru saldo dana bisnis saya malah tidak nampak. ntah kemana larinya, padahal saldonya masih banyak belum ditarik😔",diupdate versi terbaru saldo dana bisnis malah tidak nampak ntah larinya padahal saldonya banyak belum ditarik,negative
dana instan bermasalah payah,dana instan bermasalah payah,positive
trima ksh dana smga lancar sukses.. playanan nya 🙏,trima ksh dana smga lancar sukses playanan nya,positive
mantap,mantap,positive
"ingin meng nonaktifkan akun,data kita sendiri gak cukup,harus ada data satu Indonesia baru cukup dan puas,itu alasan nya, padahal mau di persulit dan di permasalakan, padahal data kita lengkap tapi data juga yang di minta,oh dana aplikasi tanpa penyelesaian",meng nonaktifkan akun data sendiri tidak cukup ada data satu indonesia baru cukup puas alasan nya padahal mau persulit permasalakan padahal data lengkap data yang di minta dana aplikasi tanpa penyelesaian,negative
sangat cocok bagi yang berminat silahkan hubungi operator dana,sangat cocok yang berminat silahkan hubungi operator dana,positive
sangat memmbantu,sangat memmbantu,positive
"Praktis oke berguna fiturnya, program & internalnya lebih fleksibel dipakai, bebas iklan, bug, ataupun lelet, cepat bila dijalankan & mengakses smua menu2nya. Tapi di sayangkan pernah juga dipakai terkadang agak"" sulit membukanya pas saat koneksi lagi buruk / tidak stabil, terkadang perputarannya lambat banget dan cuma berputar-putar saja. mungkin cuma hal yang biasa terjadi di apps ini dan yang lain-lainnya sesuai pengalaman transaksi sukses,, masukan tuk perkembangannya dibenahi segalanya.",praktis oke berguna fiturnya program internalnya lebih fleksibel dipakai bebas iklan bug ataupun lelet cepat bila dijalankan mengakses smua menu nya sayangkan pernah dipakai terkadang sulit membukanya pas koneksi buruk tidak stabil terkadang perputarannya lambat banget cuma berputar putar mungkin cuma biasa terjadi di apps dan yang lain lainnya sesuai pengalaman transaksi sukses masukan tuk perkembangannya dibenahi segalanya,positive
"bagus baik, saran ya mungkin bisa ditambah password diawal mau membuka aplikasi supaya lebih aman dan terjamin keamanannya.",bagus baik saran mungkin ditambah password diawal mau membuka aplikasi lebih aman terjamin keamanannya,positive
"dompet paling parah rating bunga rendah, semakin hari bukan, semakin bagus semakin parah gak guna pindah dompetv lainya bikin kapok pakai ovo mahal susaah di persulit",dompet paling parah rating bunga rendah semakin hari bukan semakin bagus semakin parah tidak pindah dompetv lainya bikin kapok pakai ovo mahal susaah persulit,negative
app jelek banget.. aku ganti hp malah ngak bisa login,app jelek banget aku ganti hp malah ngak login,negative
aplikasi parah top up transfer kena admin mahal ganti no tidak bisa parah banget sumpah Ovo paling jelek mending walet lainya benar dompet paling rakus,aplikasi parah top up transfer kena admin mahal ganti no tidak parah banget sumpah ovo paling jelek mending walet lainya benar dompet paling rakus,negative
"penutupan akun paling ribet, harus ada bukti percakapan lah, bukti transaksi lah, bego. kalau akun ovo saya sudah diretas. gimana saya mau ngasih bukti percakan obrolan, sedangkan saya tidak tau yg meretas akun ovo saya, bener2 gila emang ovo, banyak persyaratan nya",penutupan akun paling ribet ada bukti percakapan lah bukti transaksi lah bego kalau akun ovo sudah diretas gimana mau ngasih bukti percakan obrolan tidak tau meretas akun ovo saya bener gila emang ovo banyak persyaratan nya,negative
udah top up di brilink mahal pas masuk ke ovo kena potong lagi goblog bgt ajg,top up brilink mahal pas masuk ovo kena potong goblog banget ajg,negative
ini gimana saya beli paket di Telkomsel bayar pake apk ovo selalu gagal terus gimna ini pihak ovo ada saldo saya di ovo gak bisa digunakan,gimana beli paket telkomsel bayar pake apk ovo selalu gagal terus gimna pihak ovo saldo di ovo tidak digunakan,negative
butut,butut,negative
"sangat sangat kecewa.....Saldo ovo tiba2 masuk ke ovo nabung, dan pas mau diambil ada notif hp anda tidak kompatibel dgn ovo nabung.....ribet amat ovo benar2 kecewa",sangat sangat kecewa saldo ovo tiba masuk ovo nabung pas mau diambil notif hp tidak kompatibel ovo nabung ribet ovo benar kecewa,negative
aplikasi tidak dapat upgrade akun karena akun di hp lama belum dihapus kenapa beda banget sama gopay contohnya asalkan verifikasi sudah terpenuhi aplikasi langsung dapat digunakan penuh di hp baru... sangat mengecewakan,aplikasi tidak upgrade akun akun hp lama belum dihapus beda banget sama gopay contohnya asalkan verifikasi terpenuhi aplikasi langsung digunakan penuh hp baru sangat mengecewakan,negative
ovo gangguan atau apa sumpa saldo gua ada di dalem ko harus login ulang mana lamaaa,ovo gangguan apa sumpa saldo gua di dalem ko login ulang mana lamaaa,negative
sering error dan gak bisa masuk.,sering error tidak masuk,positive
"ngga suka bgt apk yang langsung sedot saldo perihal langganan, minimal verivikasi kode dlu deh",ngga suka banget apk langsung sedot saldo perihal langganan minimal verivikasi kode dlu deh,negative
dana gw nyangkut di ovo ini perusahaan ovo tutup aja dah apk ga guna di pasang di paly store lu bikin apk ovo ngeruguiin warga Indonesia kalo lama lama gini saldo orang banyak ketahan perusahaan ovo bisa bisa di demo,dana gw nyangkut ovo perusahaan ovo tutup aja dah apk tidak pasang paly store lu bikin apk ovo ngeruguiin warga indonesia kalau lama lama gini saldo orang banyak ketahan perusahaan ovo bisa di demo,negative
"ovo lagi kenapa siii, gua bayar angsuran masih proses aja udah 2 hari, katanya 24 Jam kalo belum terkirim nominal duit bakal dibalikin,ini kaga anjir , gimana si ovo",ovo kenapa siii gua bayar angsuran proses aja hari katanya jam kalau belum terkirim nominal duit bakal dibalikin kaga anjir gimana si ovo,negative
good,good,positive
"UNTUK YANG AKUN NYA TERBACA DIMODIFIKASI, BISA MEMATIKAN OPSI PENGEMBANG DI PENGATURAN HP.",yang akun nya terbaca dimodifikasi mematikan opsi pengembang pengaturan hp,positive
"apk kntl, mau lihat saldo ja gk bisa, apa perlu uninstal ini apk anj, tolong dibenerin tu develover nya anj",apk kntl mau lihat saldo ja gk apa perlu uninstal apk anj dibenerin tu develover nya anj,positive
respon keluhan lewat email atau DM sosmed lama,respon keluhan lewat email dm sosmed lama,negative
"mau ganti nomor ke nomor yg baru karna nomor yg lama udah gak aktif, tapi selalu gagal. ke pusat bantuan malah ada gangguan terus.",mau ganti nomor nomor baru karna nomor lama tidak aktif selalu gagal pusat bantuan malah gangguan terus,negative
udah 4 hari lebih grab modal belum cair apa udah kehabisan modal kalau bisa di batalin saya batalin deh udah kelamaan,hari lebih grab modal belum cair apa kehabisan modal kalau di batalin batalin deh kelamaan,negative
sering bgy eror ni aplilasi..syalaaaannn..ribettt,sering bgy eror ni aplilasi syalaaaannn ribettt,negative
"apk busuk, banyak error nya, ubah nomor hp yg hilang tidak bisa sama sekali, jawabannya cuman tenang coba lagi nanti, BAPUK OVO, harus ada perubah tentang bug ini, mau ubah pin aja harus verifikasi email, padahal kan pake nomor hp bisa, atau vermuk. Kalo email nya masih aktif tidak masalah, ini kalo email nya sudah lupa atau kehapus/banned gimana. OVO BUSUK",apk busuk banyak error nya ubah nomor hp hilang tidak sama sekali jawabannya cuman tenang coba nanti bapuk ovo ada perubah bug mau ubah pin aja verifikasi email padahal kan pake nomor hp vermuk kalau email nya aktif tidak masalah kalau email nya lupa atau kehapus banned gimana ovo busuk,negative
sering sekali minta pembaharuan,sering sekali minta pembaharuan,positive
"saya kecewa dengan aplikasi ini mencoba login dan ganti nomor tetap GK bisa masuk ,,,kecewa berat sama aplikasi ovo ,",kecewa aplikasi mencoba login ganti nomor tetap gk masuk kecewa berat sama aplikasi ovo,negative
"tidak bisa log in selama berbulan bulan, menghubungi cs tidak menyelesaikan masalah juga 😑",tidak log in selama berbulan bulan menghubungi cs tidak menyelesaikan masalah,negative
"keamanannya kurang, tolong buat verifikasi by photo org megang ktp dan ktpnya untuk masuk ke OVO, agar tdk mudah di bobol, sama satu lagi hubungi support ovo di persulit dan lamaaa membosankan tidak interaktif seperti kita dikasih bot/ AI l, tidak respect sama pelanggan. kita sampe hubungi kalian itu berarti urgent! tau???",keamanannya kurang buat verifikasi by photo org megang ktp ktpnya masuk ovo tidak mudah bobol sama satu hubungi support ovo persulit lamaaa membosankan tidak interaktif dikasih bot ai l tidak respect sama pelanggan kita sampe hubungi kalian berarti urgent tau,negative
bagaimana ini kok tiba tiba NIK KTP saya di gunakan padahal baru kali ini aku mengunakan ovo. TIDAK ADA PENJELAS DARI PIHAK OVO DI TELPON PENOLAKAN OTOMATIS. INI MENYAKUT DATA PRIBADI TOLONG DI PERBAIKIN SAYA MAU MENGUNAKAN PITUR PREMIER,bagaimana kok tiba tiba nik ktp gunakan padahal baru kali aku mengunakan ovo tidak penjelas pihak ovo di telpon penolakan otomatis menyakut data pribadi di perbaikin mau mengunakan pitur premier,negative
lupa pw susah bgt walaupun nmr hp aktif,lupa pw susah banget walaupun nmr hp aktif,negative
"ovo ini salah satu maling paling profesional nasional di Indonesia... salah transfer uang uang ngk dikembalikan sementara penerima tidak ada memakai uang tersebut dan akun udah di blokir ditelpon penerima bilang minta ke pihak ovo ditelpon pihak ovo suruh bikin surat pernyataan pakai materai 10ribu, udah dibuat,, suruh pihak penerima salah kirim menghubungi pihak ovo... mana mungkin dia mau... panggilan premium... udah itu suruh pihak salah kirim menghubungi... mana mungkin mau panggilan premium",ovo salah satu maling paling profesional nasional indonesia salah transfer uang uang ngk dikembalikan penerima tidak memakai uang tersebut akun di blokir ditelpon penerima bilang minta pihak ovo ditelpon pihak ovo suruh bikin surat pernyataan pakai materai ribu dibuat suruh pihak penerima salah kirim menghubungi pihak ovo mana mungkin mau panggilan premium itu suruh pihak salah kirim menghubungi mana mungkin mau panggilan premium,negative
keren,keren,positive
bagus,bagus,positive
nomor ovo saya tidal aktif lagi,nomor ovo tidal aktif,positive
ribet,ribet,negative
tiba2 susah masuk ke akun sendiri..g jelas,tiba susah masuk akun sendiri g jelas,negative
semoga dapat dana yang banyak,semoga dana banyak,positive
foto profil saya tidak ada. dan akun saya tiba tiba tidak menjadi premium. padahal awal saya pakek udah saya daftarin ke premium,foto profil tidak dan akun tiba tiba tidak menjadi premium padahal awal pakek saya daftarin premium,negative
mau bikin ovo premium di biken ribet hadeh,mau bikin ovo premium biken ribet hadeh,negative
potongan ny mengerikan klau potong cukup pengirim aja ini penerima juga di potong 2 RB,potongan ny mengerikan klau potong cukup pengirim aja penerima di potong rb,negative
gimana kalau hp SMA email hilang,gimana kalau hp sma email hilang,negative
"aplikasi ruwet, banyak biaya adminnya, masih enak dana",aplikasi ruwet banyak biaya adminnya enak dana,negative
batu pernium,batu pernium,positive
"kartu hilang dan nomor ingin di kembalikan, tapi banyak sekali masalah nya",kartu hilang nomor di kembalikan banyak sekali masalah nya,negative
Ok,,positive
"ribet, tf harus premium",ribet tf premium,negative
transfer selalu gagal dan uang gak balik,transfer selalu gagal uang tidak balik,negative
"top up 318.000 dri tgl 4 kemaren sore , blom masuk , admin respon lama ,kapok gw gunakan ovo , blom masuk uang ilang gitu aja , bener bener ovo dari dulu apk tuyul",top up dri tgl kemaren sore blom masuk admin respon lama kapok gw gunakan ovo blom masuk uang ilang gitu aja bener bener ovo dulu apk tuyul,negative
